"Sira","Sirket Adi","Kategori","Adres/Sehir","Web Sitesi","E-mail","Telefon","Google Puani","Yorum Sayisi","Ovlink Skoru","Oncelik"
"1","iSpace","Electronics store","151 Neftchilar Ave, Baku 1025, Azerbaijan","https://ispace.az/","","+994 12 464 04 34","4.8","22","100","Cok Yuksek"
"2","NC GROUP","Advertising agency","94 Hasan bey Zardabi St, Baku 1012, Azerbaijan","https://ncgroup.az/","","+994 51 230 26 16","5","26","100","Cok Yuksek"
"3","Make Agency — Saytlarin Hazirlanmasi, SMM Xidmeti, SEO Xidmeti","Advertising agency","7 Badamdar Shosesi, Baku 1021, Azerbaijan","https://make.az/","","+994 55 755 89 01","5","14","100","Cok Yuksek"
"4","Admedia Reklam Agentliyi","Advertising agency","Əbdüləzəl Dəmirçizadə 2G, Bakı 1008, Azerbaijan","http://admedia.az/","","+994 55 270 70 48","4.8","25","100","Cok Yuksek"
"5","Etna Group Advertising Agency","Design agency","Park, Azure biznes mərkəzi, 8 November Ave, Baku, Azerbaijan","http://etnagroup.az/","","+994 50 290 00 29","5","2","100","Cok Yuksek"
"6","Medium Creative Agency | saytların hazırlanması","E commerce agency","1, 52A Əhməd Rəcəbli, Bakı 1075, Azerbaijan","https://medium.az/","","+994 70 815 11 77","5","19","100","Cok Yuksek"
"7","WebRain","Marketing agency","35 Matbuat avenue, Baku 1141, Azerbaijan","https://www.webrain.az/","","+994 70 900 80 99","5","25","100","Cok Yuksek"
"8","webline","Website designer","5 Heydar Aliyev Ave, Baku 1033, Azerbaijan","https://webline.az/","","+994 55 728 48 48","5","25","100","Cok Yuksek"
"9","ONE studio - Creative Agency | Web development | SMM | Branding","Marketing agency","101 Zərgərpalan, Bakı 1009, Azerbaijan","https://one.az/","","+994 55 475 24 00","5","7","100","Cok Yuksek"
"10","Jake's Web Design & Marketing","Website designer","3176 W Willow Bnd, Lehi, UT 84043","http://jakeswebandmarketing.com/","","(385) 331-6065","5","106","100","Cok Yuksek"
"11","Davis Designs","Website designer","7984 S 1300 E, Sandy, UT 84094","http://daviscreate.com/","","(385) 474-9887","5","125","100","Cok Yuksek"
