"Sıra","Şirket Adı","Kategori","Adres / Şehir","Web Sitesi","E-mail","Telefon","Genel Müdür / CEO Adı","Ünvan","CEO Profil / Kaynak Linki","Google Puanı","Yorum Sayısı","Ovlink Uygunluk Skoru (/100)","Öncelik Seviyesi"
"1","iSpace","Electronics store","151 Neftchilar Ave, Baku 1025, Azerbaijan","https://ispace.az/","info@ispace.az","+994 12 464 04 34","Takeshi Hakamada","Founder & CEO at ispace, inc.","https://jp.linkedin.com/in/takeshi-hakamada-b096b14","4.8","22","100","Çok Yüksek"
"2","NC GROUP","Advertising agency","94 Hasan bey Zardabi St, Baku 1012, Azerbaijan","https://ncgroup.az/","info@ncgroup.az","+994 51 230 26 16","Belirtilmedi","","","5","26","100","Çok Yüksek"
"3","Make Agency — Saytlarin Hazirlanmasi, SMM Xidmeti, SEO Xidmeti","Advertising agency","7 Badamdar Shosesi, Baku 1021, Azerbaijan","https://make.az/","agency@make.az","+994 55 755 89 01","Belirtilmedi","","","5","14","100","Çok Yüksek"
"4","Admedia Reklam Agentliyi","Advertising agency","Əbdüləzəl Dəmirçizadə 2G, Bakı 1008, Azerbaijan","http://admedia.az/","info@admedia.az","+994 55 270 70 48","Lamia Khudiyeva","CEO / Kurucu","https://az.linkedin.com/company/admedia-reklam-pr","4.8","25","100","Çok Yüksek"
"5","Creative SHAMANS","Design agency","55 Yeni, Yeni Həyat Plaza, Zarifa Aliyeva St, Baku, Azerbaijan","https://shamans.az/","info@shamans.az","+994 55 299 31 34","Belirtilmedi","","","5","10","100","Çok Yüksek"
"6","Etna Group Advertising Agency","Design agency","Park, Azure biznes mərkəzi, 8 November Ave, Baku, Azerbaijan","http://etnagroup.az/","info@etnagroup.az","+994 50 290 00 29","Nihad Babayev","CEO / Kurucu","https://tr.linkedin.com/company/etnagroup","5","2","100","Çok Yüksek"
"7","SaytPro","Website designer","Mənzil 25, Bakı şəhəri, ev 15 Üzeyir Hacıbəyov küç, Baku 1000, Azerbaijan","https://saytpro.az/az","salam@saytpro.az","+994 70 737 07 17","Belirtilmedi","","","5","95","100","Çok Yüksek"
"8","Medium Creative Agency | saytların hazırlanması","E commerce agency","1, 52A Əhməd Rəcəbli, Bakı 1075, Azerbaijan","https://medium.az/","info@medium.az","+994 70 815 11 77","Merve Naz Atmaca","CEO / Genel Müdür","https://www.instagram.com/p/C_k-UfQo68D/","5","19","100","Çok Yüksek"
"9","ideas","Design agency","37 Khojali Avenue, Baku 1000, Azerbaijan","https://ideas.az/","info@ideas.az","+994 77 427 05 05","Belirtilmedi","","","5","6","100","Çok Yüksek"
"10","WebRain","Marketing agency","35 Matbuat avenue, Baku 1141, Azerbaijan","https://www.webrain.az/","info@webrain.az","+994 70 900 80 99","Nejat Ünsal Co","CEO / Kurucu","https://www.turkiyeinnovationweek.com/eng/program-konusmacilar.html","5","25","100","Çok Yüksek"
"11","webline","Website designer","5 Heydar Aliyev Ave, Baku 1033, Azerbaijan","https://webline.az/","info@webline.az","+994 55 728 48 48","Amir Hossein Khateri","CEO / Kurucu","https://www.linkedin.com/company/weblineagency","5","25","100","Çok Yüksek"
"12","ONE studio - Creative Agency | Web development | SMM | Branding","Marketing agency","101 Zərgərpalan, Bakı 1009, Azerbaijan","https://one.az/","info@one.az","+994 55 475 24 00","Belirtilmedi","","","5","7","100","Çok Yüksek"
"13","Jake's Web Design & Marketing","Website designer","3176 W Willow Bnd, Lehi, UT 84043","http://jakeswebandmarketing.com/","jakeswebandmarketing@gmail.com","(385) 331-6065","Belirtilmedi","","","5","106","100","Çok Yüksek"
"14","Davis Designs","Website designer","7984 S 1300 E, Sandy, UT 84094","http://daviscreate.com/","info@daviscreate.com","(385) 474-9887","Mike Davis","Kurucu / CEO","Google AI Overview","5","125","100","Çok Yüksek"
"15","Trustme Digital","Marketing agency","11/31 Babək prosp, Bakı 1025, Azerbaijan","https://trustmedigital.com/","info@trustmedigital.com","+994 50 202 33 15","Belirtilmedi","","","5","29","100","Çok Yüksek"
"16","Good Day Azerbaijan","Internet marketing service","86 Nizami St, Baku 1001, Azerbaijan","https://www.instagram.com/goodday.azerbaijan","","+994 55 953 23 48","Adem Aykın","Executive Advisor, Board Member, General ...","https://tr.linkedin.com/in/adem-ayk%C4%B1n-21833488","5","6","100","Çok Yüksek"
"17","Utah Web Design Pros","Website designer","8817 Redwood Rd Suite A10, West Jordan, UT 84088","https://www.utahwebdesignpros.com/","info@utahwebdesignpros.com","(801) 871-5251","Cody Lueck","Owner at Utah Web Design Pros","https://www.linkedin.com/in/cody-lueck-b412b4118","4.8","25","100","Çok Yüksek"
"18","Beyvin Digital","Marketing agency","1/23 Ahmad Rajabli str, Baku 1075, Azerbaijan","https://beyvin.com/","info@beyvin.com","+994 70 277 66 01","Mohamed Al Khalifa","CEO / Kurucu","https://bh.linkedin.com/in/moalkhalifa","5","12","100","Çok Yüksek"
"19","Jeykhun Imanov Studio (JIS) - Digital Transformation Agency","Advertising agency","Caspian Plaza, 3rd Block, 3rd floor. J.Jabbarli str. 44, Baku, AZ1065, Baku 1065, Azerbaijan","https://www.jis.az/","jane@jis.az","+994 77 404 99 00","Belirtilmedi","","","5","7","100","Çok Yüksek"
"20","RegemsalElement - digital marketing agency","Internet marketing service","92 Nizami St, Baku 1016, Azerbaijan","https://regemsalelement.com/az/services/","regemsalelement@gmail.com","+994 51 310 82 05","Belirtilmedi","","","5","5","100","Çok Yüksek"
"21","Hexa Studio Marketing Agency","Marketing agency","89 Ataturk avenue, Baku 1069 89, 1069 Ataturk avenue, Baku 1069, Azerbaijan","","","+994 51 753 27 75","Victor Ogunbode","Kurucu / CEO","Google AI Overview","5","14","100","Çok Yüksek"
"22","Ondigital Agency","Advertising agency","10th floor / № 1003, Old Town Plaza, 123 Bəşir Səfəroğlu Küçəsi, Baku 1009, Azerbaijan","https://ondigital.az/?utm_source=google&utm_medium=organic&utm_campaign=gmb","office@ondigital.az","+994 55 431 47 50","Erick Lopez","CEO, Founder","https://www.linkedin.com/in/covereddigitalmarketingagency","5","7","100","Çok Yüksek"
"23","Brandup","Marketing agency","88A, 1010 Azadlıq Prospekti, Bakı, Azerbaijan","http://www.brandup.az/","info@brandup.az","+994 50 206 16 04","Danara Kizzy Kuhn","Kurucu / CEO","Google AI Overview","4.9","19","100","Çok Yüksek"
"24","Aventus Digital Marketinq","Marketing agency","3 Tac"" Binaları, 78E Zerdabi Ave, Baku 1122, Azerbaijan","https://aventusconsultancy.com/","info@aventusconsultancy.com","+994 55 213 03 77","Zubayed Feroz","Kurucu / CEO","Google AI Overview","5","178","100","Çok Yüksek"
"25","MarLab","Marketing agency","40 Jafar Jabbarli street, Baku, Azerbaijan","https://marlab.az/","info@marlab.az","+994 10 315 30 04","Ali Badalov","CEO / Kurucu","https://marlab.az/en","4.9","88","100","Çok Yüksek"
"26","Baku Creative Projects","Marketing agency","Aşıq Molla Cümə, Bakı, Azerbaijan","https://bcp.az/","info@bcp.az","+994 55 500 50 15","Farid Badalov","Основатель и Директор","https://az.linkedin.com/in/farid-badalov-8a4281235","4.9","50","100","Çok Yüksek"
"27","Aghabala Mammadov - SEO Xidməti, Veb saytların hazırlanması, Rəqəmsal Marketinq Xidmətləri","Marketing consultant","Turan Biznes Mərkəzi, Ahmad Rajabli, Baku 1065, Azerbaijan","https://aghabala.az/","aghabalamammadov@gmail.com","+994 50 394 81 74","Aghabala Mammadov","🎯Full","https://az.linkedin.com/in/aghabalamammadov","5","106","100","Çok Yüksek"
"28","Mediamark Digital Agency - Baku, AZ","Marketing agency","Ağ Şəhər, 1 Yasil ada kucesi, Baku 1025, Azerbaijan","https://mediamark.digital/","info@mediamark.digital","","Faruk Kocabaş","COO of MediaMarktSaturn and CEO ...","https://es.linkedin.com/in/farukkocabas","5","2","100","Çok Yüksek"
"29","Beyinix • marketing agency","Marketing agency","Knightsbridge Residence, 122 Mərkəzi bulvar küçəsi, Baku 1025, Azerbaijan","http://www.beyinix.az/","info@beyinix.az","+994 99 355 20 30","Belirtilmedi","","","4.9","232","100","Çok Yüksek"
"30","BranDoc. Agency","Marketing agency","2nd Yashil Ada str, Baku 1000, Azerbaijan","https://brandoc.az/","info@brandoc.az","+994 51 312 11 67","Narendran Damodaran","Founder","https://in.linkedin.com/in/freenaren","5","17","100","Çok Yüksek"
"31","Digital Marketing Baku","Marketing agency","61 Ogtay Karimov, Baku, Azerbaijan","http://dimktg.com/","info@dimktg.com","+994 77 117 24 75","Tabriz Heydarov","Founder & CEO","https://az.linkedin.com/in/tabriz-heydarov-06391457","5","3","100","Çok Yüksek"
"32","JUGAAD Agency","Marketing agency","4 Nizami Gəncəvi, Bakı 1000, Azerbaijan","http://www.jugaad.az/","info@jugaad.az","+994 50 962 00 15","Belirtilmedi","","","5","28","100","Çok Yüksek"
"33","Sharaf Media","Advertising agency","10th floor, Azure Business Center, Bakı 1025, Azerbaijan","https://sharafmedia.az/","info@sharafmedia.az","+994 70 491 07 07","Belirtilmedi","","","5","44","100","Çok Yüksek"
"34","McCann Baku","Advertising agency","Passage 1901, 12 Nigar Rafibayli Street Baku AZ, 1001 Nigar Rafibayli, Bakı, Azerbaijan","https://www.mccann.az/","info@mccann.az","+994 12 492 35 35","Rovshane Aliyeva","CEO / Kurucu","https://az.linkedin.com/company/mccann-baku","5","1","100","Çok Yüksek"
"35","Impler Digital Agency","Advertising agency","55 Zarifa Aliyeva St, Baku 1000, Azerbaijan","http://www.impler.com/","info@impler.com","+994 55 228 51 53","Belirtilmedi","","","5","3","100","Çok Yüksek"
"36","Havas Media Azerbaijan","Advertising agency","609 Jafar Jabbarli street, Baku 1065, Azerbaijan","https://havas.az/","info@havas.az","+994 12 409 14 34","Ceren Çubukçu","CEO at Havas Istanbul","https://tr.linkedin.com/in/cerencubukcu","5","10","100","Çok Yüksek"
"37","DigiBoom Marketing Agency Baku","Marketing agency","49b Ahmad Rajabli, Baku 1000, Azerbaijan","http://digiboom.az/","info@digiboom.az","+994 10 315 99 18","Sanana Askerova","CEO / Kurucu","https://az.linkedin.com/company/digiboom-az","5","1","100","Çok Yüksek"
"38","PR!ME agency","Marketing agency","3, Fatali Khan Khoyski str / Hasanoglu str Premier Residence, block B2, floor, Baku, Azerbaijan","https://linktr.ee/primeagency.live","info@linktr.ee","+994 12 464 51 15","Farid Mammadov","Chief Executive Officer at Baku ...","https://az.linkedin.com/in/phareed","5","5","100","Çok Yüksek"
"39","Dr Digital - Social Media & Digital Marketing","Internet marketing service","Anvar Huseynov 7, Baku 1009, Azerbaijan","https://www.drdigital.az/","info@drdigital.az","+994 50 974 44 33","Kostas Alekoglu","Helping clinics gain more customers. ...","https://uk.linkedin.com/in/kostasalekoglu","4.8","4","100","Çok Yüksek"
"40","SMM agency","Advertising agency","Mirali Seyidov, Baku 2011, Azerbaijan","","","+994 50 577 32 12","Belirtilmedi","","","4.3","13","100","Çok Yüksek"
"41","Y Marketing Agency","Marketing agency","148 Ziya Bünyadov, Baku 1108, Azerbaijan","","","+994 51 566 35 32","Evren Kacar","Founder & CEO at DAN Global","https://uk.linkedin.com/in/evrenkacar","5","5","100","Çok Yüksek"
"42","Up And Social","Marketing agency","360 Athens St, Boston, MA 02127","https://www.upandsocial.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","hello@upandsocial.com","(857) 226-3133","Tia Christofi","CEO / Kurucu","https://www.instagram.com/p/DGNG1OiSH4r/","5","62","100","Çok Yüksek"
"43","İstanbul Web Design - İstanbul Web Tasarım Ajansı","Website designer","Turgut Özal, Orkide Cd. No:66, 34515 Esenyurt/İstanbul, Türkiye","https://www.istanbulwebdesign.com/","info@istanbulwebdesign.com","+49 170 9003053","Belirtilmedi","","","5","34","100","Çok Yüksek"
"44","Euromedy Web Design","Website designer","Mecidiyeköy Mahallesi, Kervan Geçmez Sk. Keskin İş Merkezi No:4, 34381 Şişli/İstanbul, Türkiye","https://www.euromedya.com/","info@euromedya.com","+90 212 272 48 84","Belirtilmedi","","","4.8","22","100","Çok Yüksek"
"45","Web Design Istanbul","Website designer","Byconcept Sitesi, Hasanpaşa Mahallesi Gişeler Sokak No:3/2 A2 Blok D:38, 34920 Sultanbeyli/İstanbul, Türkiye","https://www.xdizayn.net/","info@xdizayn.net","+90 216 419 02 29","Akın Nalça","Terminal Design şirketinde Founder / Partner","https://tr.linkedin.com/in/ak%C4%B1n-nal%C3%A7a-872b5518","4.7","13","100","Çok Yüksek"
"46","Webbilir","Website designer","Büyükdere Cad. No:257 Nurol Plaza 21/A Maslak, 34450 Sarıyer/İstanbul, Türkiye","https://www.webbilir.com/","info@webbilir.com","+90 552 209 90 96","Platformu Genel Sekreterliği","CEO / Genel Müdür","https://ceoplatformu.com/uye-iliskileri-kurulu/","4.9","41","100","Çok Yüksek"
"47","Vayes Kurumsal Web Tasarım - Sosyal Medya - Dijital Pazarlama Firması İstanbul","Website designer","Cumhuriyet Mahallesi, E-5 Yanyolu & 1992 Sok Vetro City Residence A Blok 8 Kat Ofis No :177, 34528 Beylikdüzü/İstanbul, Türkiye","https://www.vayes.com.tr/","info@vayes.com.tr","+90 212 855 94 04","Belirtilmedi","","","4.9","26","100","Çok Yüksek"
"48","Mavi Bulut Digital","Website designer","Gümüşsuyu, Tak-ı Zafer Cd., 34000 Beyoğlu/İstanbul, Türkiye","https://mavibulutnet.com/","info@mavibulutnet.com","+90 541 321 91 05","Cüneyt Yavuz","CEO / Genel Müdür","https://www.youtube.com/watch?v=koTPY7Cy-Ds","5","19","100","Çok Yüksek"
"49","Web Tasarım, Web Yazılım | İstanbul Web Ajans","Website designer","Soğanlı Mh. Çavuşpaşa Cad, Sengül Sokağı No:9, 34180 Bahçelievler/İstanbul, Türkiye","https://istanbulwebajans.com/","info@istanbulwebajans.com","+90 212 993 15 01","Belirtilmedi","","","4.8","16","100","Çok Yüksek"
"50","Web Tasarım Ajansı Web Studio Dijital Ajans","Website designer","CANAN BUSINESS, Küçükbakkalköy, Selvili Sok. No:4 Daire:77, 34750 Ataşehir/İstanbul, Türkiye","https://www.ws.com.tr/","info@ws.com.tr","+90 216 469 20 11","Belirtilmedi","","","4.8","71","100","Çok Yüksek"
"51","Web Ajans - Web Tasarım, SEO, Dijital Pazarlama ve Reklam Ajansı","Website designer","Halaskargazi, Ayla Algan Sok. NO:30, 34371 Şişli/İstanbul, Türkiye","https://www.webajans.com/","info@webajans.com","+90 532 300 09 79","Belirtilmedi","","","4.7","29","100","Çok Yüksek"
